CONCAT_ID,PUMA,PWGTP,AGEP
2022GQ004809801,304,49,19
2022GQ004840601,301,25,22
2022GQ004864201,305,120,23
2022GQ004900201,200,6,29
2022GQ004981801,301,34,20
2022GQ005002501,200,22,43
2022GQ005036001,306,46,22
2022GQ005069501,301,57,24
2022GQ005090401,301,96,20
2022GQ005101401,302,63,61
2022GQ005112501,304,164,33
2022GQ005120201,306,45,21
2022GQ005164301,301,154,41
2022GQ005165801,306,55,20
2022GQ005171101,301,92,20
2022GQ005174301,306,58,21
2022GQ005272701,302,9,22
2022GQ005347401,301,94,21
2022GQ005363801,305,13,71
2022GQ005399401,200,3,21
2022GQ005471901,307,3,38
2022GQ005474301,305,30,85
2022GQ005483301,100,56,28
2022GQ005492001,304,94,19
2022GQ005495701,306,56,27
2022GQ005558901,200,57,43
2022GQ005562501,306,61,20
2022GQ005587301,306,58,23
2022GQ005627701,305,69,19
2022GQ005649701,304,54,32
2022GQ005690701,306,57,21
2022GQ005693801,200,5,19
2022GQ005705501,306,84,21
2022GQ005731601,305,15,48
2022GQ005736701,306,67,20
2022GQ005749701,306,100,23
2022GQ005774001,302,28,17
2022GQ005775001,307,27,78
2022GQ005799901,302,69,66
2022GQ005843001,301,247,45
2022GQ005846501,308,6,43
2022GQ005879001,302,9,27
2022GQ005885601,301,29,23
2022GQ005895301,308,30,6
2022GQ005902701,303,27,42
2022GQ005927101,305,20,67
2022GQ005939101,301,36,23
2022GQ005968501,100,58,38
2022GQ005987301,200,99,53
2022GQ005995901,306,18,19
2022GQ006003301,306,15,23
2022GQ006005001,301,17,19
2022GQ006048601,305,10,33
2022GQ006054601,308,53,3
2022GQ006060201,301,59,22
2022GQ006108101,304,81,29
2022GQ006181001,305,59,4
2022GQ006188801,303,14,18
2022GQ006209701,301,66,24
2022GQ006224701,100,88,97
2022GQ006235701,304,77,62
2022GQ006264001,306,65,24
2022GQ006292001,301,27,45
2022GQ006298801,308,20,86
2022GQ006342301,301,77,23
2022GQ006353301,301,20,20
2022GQ006372301,306,53,28
2022GQ006384501,302,115,20
2022GQ006416801,200,9,42
2022GQ006435201,302,25,18
2022GQ006467101,305,44,89
2022GQ006504401,301,35,22
2022GQ006511801,307,16,3
2022GQ006540901,306,55,21
2022GQ006546201,302,30,20
2022GQ006563801,200,10,67
2022GQ006602501,200,41,19
2022GQ006654001,200,129,67
2022GQ006717101,307,45,32
2022GQ006733501,306,6,48
2022GQ006739001,200,9,57
2022GQ006768201,306,20,21
2022GQ006827901,301,45,23
2022GQ006833001,301,96,22
2022GQ006846501,302,49,38
2022GQ006878701,200,85,84
2022GQ006942201,306,84,22
2022GQ007009301,301,70,23
2022GQ007025701,301,38,22
2022GQ007026701,301,22,21
2022GQ007061101,305,49,43
2022GQ007063701,200,72,81
2022GQ007103901,304,107,18
2022GQ007127001,303,101,41
2022GQ007143401,301,72,26
2022GQ007156301,305,71,66
2022GQ007169801,302,93,54
2022GQ007171801,200,10,67
2022GQ007219201,307,41,33
2022GQ007219401,304,73,19
2022GQ007234401,301,77,41
2022GQ007265601,306,12,38
2022GQ007320501,306,43,21
2022GQ007327901,301,38,20
2022GQ007423801,301,15,27
2022GQ007435801,301,15,59
2022GQ007439701,301,84,29
2022GQ007457001,302,12,89
2022GQ007499901,301,29,21
2022GQ007522301,307,17,73
2022GQ007549601,304,56,87
2022GQ007557101,304,39,19
2022GQ007605801,100,164,44
2022GQ007618601,100,158,56
2022GQ007626601,304,20,70
2022GQ007648601,305,16,43
2022GQ007664301,303,48,57
2022GQ007685201,304,74,28
2022GQ007692201,301,59,21
2022GQ007775901,303,3,5
2022GQ007818601,301,30,24
2022GQ007836701,306,95,19
2022GQ007849901,306,13,40
2022GQ007855201,304,107,19
2022GQ007871501,308,47,63
2022GQ007880801,306,60,28
2022GQ007911701,301,96,22
2022GQ007930601,301,25,22
2022GQ007942201,301,27,23
2022GQ007982301,303,12,18
2022GQ007983601,306,69,48
2022GQ007996601,301,22,19
2022GQ008019901,200,74,71
2022GQ008029101,100,61,32
2022GQ008038701,307,24,44
2022GQ008094701,305,6,63
2022GQ008128401,306,52,27
2022GQ008145701,306,79,22
2022GQ008147201,305,10,24
2022GQ008164801,306,4,36
2022GQ008179701,303,10,69
2022GQ008213701,306,3,41
2022GQ008221701,100,122,64
2022GQ008288601,302,79,91
2022GQ008306301,301,82,21
2022GQ008321401,301,18,9
2022GQ008322201,301,20,24
2022GQ008350401,306,67,27
2022GQ008374201,305,2,81
2022GQ008426301,302,85,21
2022GQ008441501,302,14,19
2022GQ008455501,100,196,22
2022GQ008482401,303,29,27
2022GQ008520701,305,14,53
2022GQ008552001,302,82,18
2022GQ008560101,303,6,6
2022GQ008575401,100,69,38
2022GQ008577301,306,61,21
2022GQ008580501,301,38,21
2022GQ008596901,305,12,22
2022GQ008641401,308,35,5
2022GQ008641701,301,45,20
2022GQ008645801,305,10,41
2022GQ008679001,307,93,97
2022GQ008712901,306,52,22
2022GQ008715101,305,57,19
2022GQ008735601,308,53,93
2022GQ008756701,306,106,26
2022GQ008765101,304,50,18
2022GQ008783101,306,79,21
2022GQ008819901,200,13,14
2022GQ008820201,301,13,34
2022GQ008826701,302,112,74
2022GQ008891601,305,13,83
2022GQ008922701,100,62,73
2022GQ008981201,306,16,22
2022GQ008989201,301,60,25
2022GQ008992801,307,78,88
2022GQ009015401,302,68,25
2022GQ009042301,303,60,19
2022GQ009056901,302,168,55
2022GQ009078401,305,12,91
2022GQ009082401,302,43,27
2022GQ009083001,302,3,22
